year,state,state_abbrev,GDP,homeownership(%),unemployment_rate,population(thousands),median income,avg house data
2005,New York,NY,1171051,55.9,5,19133,54383,593.34
2006,New York,NY,1199904,55.7,4.5,19105,51246,632.41
2007,New York,NY,1202726,55.9,4.6,19132,57309,636.13
2008,New York,NY,1175471,55,5.4,19212,58026,617.58
2009,New York,NY,1223229,54.4,8.3,19307,58749,590.98
2010,New York,NY,1269487,54.5,8.6,19400,58870,574.11
2011,New York,NY,1269245,53.6,8.3,19499,63063,562.24
2012,New York,NY,1322448,53.6,8.5,19575,61634,555.36
2013,New York,NY,1319299,53,7.7,19628,62977,559.63
2014,New York,NY,1348204,52.9,6.3,19656,66505,571.33
2015,New York,NY,1369097,51.5,5.3,19661,61103,592.10
2016,New York,NY,1388267,51.5,4.9,19642,63867,614.21
2017,New York,NY,1407217,51.1,4.7,19591,60854,645.40
2018,New York,NY,1436957,51,4.1,19542,64479,683.89
1997,Ohio,OH,471886,69,4.6,11212,56548,195.16
1998,Ohio,OH,487904,70.7,4.3,11238,60102,204.27
1999,Ohio,OH,499060,70.7,4.3,11257,59702,211.85
2000,Ohio,OH,508992,71.3,4,11364,59408,219.88
2001,Ohio,OH,501815,71.2,4.3,11387,62821,231.59
2002,Ohio,OH,514752,72.1,5.7,11408,53826,239.47
2003,Ohio,OH,522649,72.8,6.2,11435,59745,247.17
2004,Ohio,OH,534359,73.1,6.3,11452,52961,255.95
2005,Ohio,OH,543745,73.3,5.9,11463,59562,265.10
2006,Ohio,OH,541180,72.1,5.4,11481,57376,266.34
2007,Ohio,OH,541411,71.4,5.6,11500,54873,264.08
2008,Ohio,OH,537200,70.8,6.4,11515,49957,257.34
2009,Ohio,OH,509216,69.7,10.3,11529,48622,251.05
2010,Ohio,OH,521095,69.7,10.3,11539,57305,243.94
2011,Ohio,OH,538703,68.9,8.8,11543,59609,235.87
2012,Ohio,OH,540819,67.9,7.4,11548,56975,234.30
2013,Ohio,OH,550800,67.9,7.5,11577,54793,234.80
2014,Ohio,OH,570362,67.3,5.8,11603,52708,241.31
2015,Ohio,OH,577277,66.4,4.9,11618,56494,250.88
2016,Ohio,OH,581594,66.1,5,11635,56490,261.38
2017,Ohio,OH,590884,66,5,11664,62167,275.13
2018,Ohio,OH,601496,67.3,4.6,11689,61633,292.08
1997,Oklahoma,OK,115414,68.5,4.1,3314,49063,128.77
1998,Oklahoma,OK,117867,69.7,4.3,3339,52076,135.12
1999,Oklahoma,OK,119725,71.5,3.5,3358,49412,140.53
2000,Oklahoma,OK,124111,72.7,3,3454,47423,146.06
2001,Oklahoma,OK,128721,71.5,3.7,3467,50627,154.21
2002,Oklahoma,OK,131078,69.6,4.7,3489,51030,160.24
2003,Oklahoma,OK,133084,69.1,5.5,3505,49136,166.74
2004,Oklahoma,OK,137436,71.1,4.9,3525,52790,173.58
2005,Oklahoma,OK,143073,72.9,4.5,3549,48523,182.38
2006,Oklahoma,OK,152659,71.6,4,3594,48488,190.96
2007,Oklahoma,OK,155465,70.3,4.1,3634,52466,199.20
2008,Oklahoma,OK,161361,70.4,3.7,3669,49749,203.17
2009,Oklahoma,OK,159236,69.6,6.4,3718,53825,204.18
2010,Oklahoma,OK,159227,69.2,6.8,3760,53910,202.66
2011,Oklahoma,OK,165153,69.4,5.9,3788,54217,199.46
2012,Oklahoma,OK,173484,68.8,5.2,3819,53040,202.34
2013,Oklahoma,OK,177602,69.9,5.3,3853,49841,205.78
2014,Oklahoma,OK,188065,69.3,4.5,3878,50113,211.81
2015,Oklahoma,OK,194565,67.4,4.4,3910,53307,220.32
2016,Oklahoma,OK,189122,66.8,4.8,3927,53147,226.85
2017,Oklahoma,OK,189569,68.9,4.2,3933,54434,235.21
2018,Oklahoma,OK,193030,69.5,3.4,3943,49897,243.22
1997,Oregon,OR,118539,61,5.7,3243,58290,226.19
1998,Oregon,OR,124171,63.4,5.7,3282,60321,237.53
1999,Oregon,OR,126884,64.3,5.5,3316,61410,243.62
2000,Oregon,OR,137802,65.3,5.1,3430,58680,250.63
2001,Oregon,OR,136688,65.8,6.4,3468,62144,264.78
2002,Oregon,OR,139698,66.2,7.5,3513,58510,276.03
2003,Oregon,OR,145585,68,8.1,3547,56986,289.27
2004,Oregon,OR,152798,69,7.3,3569,54629,316.72
2005,Oregon,OR,158463,68.2,6.2,3613,56919,369.31
2006,Oregon,OR,167912,68.1,5.3,3671,57603,430.70
2007,Oregon,OR,171114,65.7,5.2,3722,58792,454.81
2008,Oregon,OR,173955,66.2,6.5,3769,58404,438.53
2009,Oregon,OR,166653,68.2,11.3,3809,60989,400.79
2010,Oregon,OR,169016,66.3,10.6,3838,57653,372.02
2011,Oregon,OR,173883,66.4,9.5,3872,60476,345.93
2012,Oregon,OR,174493,66.1,8.8,3899,56730,343.82
2013,Oregon,OR,175805,64.2,7.9,3923,52905,367.59
2014,Oregon,OR,181992,62.8,6.8,3964,62509,398.53
2015,Oregon,OR,191595,61.1,5.6,4017,64478,434.07
2016,Oregon,OR,200332,62.6,4.8,4091,61879,482.50
2017,Oregon,OR,206711,61.8,4.1,4147,64021,526.42
2018,Oregon,OR,213708,62,4.2,4191,69165,564.25
1997,Pennsylvania,PA,495814,73.3,5.1,12016,58713,216.68
1998,Pennsylvania,PA,508484,73.9,4.6,12002,60241,224.39
1999,Pennsylvania,PA,523565,75.2,4.4,11994,57085,229.90
2000,Pennsylvania,PA,537224,74.7,4.1,12284,61671,238.13
2001,Pennsylvania,PA,544791,74.3,4.8,12299,61845,254.07
2002,Pennsylvania,PA,550247,74,5.6,12331,59484,270.59
2003,Pennsylvania,PA,562436,73.7,5.7,12375,58759,289.05
2004,Pennsylvania,PA,578034,74.9,5.4,12411,58776,318.92
2005,Pennsylvania,PA,588055,73.3,5,12450,59678,356.15
2006,Pennsylvania,PA,592030,73.2,4.6,12511,60523,383.54
2007,Pennsylvania,PA,612018,72.9,4.4,12564,56517,394.39
2008,Pennsylvania,PA,623821,72.6,5.3,12612,58805,390.68
2009,Pennsylvania,PA,605497,72.2,8,12667,55763,381.02
2010,Pennsylvania,PA,622467,72.2,8.5,12711,60096,372.95
2011,Pennsylvania,PA,631372,71.1,7.9,12745,55845,364.98
2012,Pennsylvania,PA,641317,71,7.8,12767,56871,361.95
2013,Pennsylvania,PA,651319,71.5,7.4,12777,59552,365.30
2014,Pennsylvania,PA,664793,69.7,5.9,12789,58579,371.27
2015,Pennsylvania,PA,677873,69.6,5.3,12786,64006,381.40
2016,Pennsylvania,PA,685462,68.5,5.4,12784,63809,392.92
2017,Pennsylvania,PA,697183,68.6,4.9,12790,62779,408.07
2018,Pennsylvania,PA,712101,69.9,4.3,12807,64524,428.33
1997,Rhode Island,RI,40159,58.7,5.1,987,54456,243.39
1998,Rhode Island,RI,41789,59.8,4.6,988,62821,252.68
1999,Rhode Island,RI,43176,60.6,4.2,991,64585,263.50
2000,Rhode Island,RI,45246,61.5,4.1,1050,61702,291.15
2001,Rhode Island,RI,45918,60.1,4.6,1057,65007,323.80
2002,Rhode Island,RI,47611,59.4,5,1066,59371,373.82
2003,Rhode Island,RI,49374,59.9,5.3,1071,61192,428.67
2004,Rhode Island,RI,51583,61.5,5.2,1075,60578,508.60
2005,Rhode Island,RI,52316,63.1,5,1068,62246,578.01
2006,Rhode Island,RI,53518,64.6,4.9,1063,54864,601.41
2007,Rhode Island,RI,52087,64.9,5.2,1057,59582,585.39
2008,Rhode Island,RI,50447,64.5,7.8,1055,63879,538.04
2009,Rhode Island,RI,50214,62.9,11,1054,61431,494.88
2010,Rhode Island,RI,51468,62.8,11.2,1054,60812,473.27
2011,Rhode Island,RI,51269,63.4,11,1054,65814,452.30
2012,Rhode Island,RI,51642,62.1,10.4,1055,62252,439.86
2013,Rhode Island,RI,52085,61.5,9.3,1055,63782,438.51
2014,Rhode Island,RI,52208,61.8,7.7,1056,64383,449.66
2015,Rhode Island,RI,53003,58.9,6,1056,59038,469.83
2016,Rhode Island,RI,52985,56.3,5.2,1057,66995,491.26
2017,Rhode Island,RI,53404,56.6,4.4,1056,67088,525.53
2018,Rhode Island,RI,53741,60.7,4.1,1057,62266,565.03
1997,South Carolina,SC,134908,74.1,4.6,3790,53619,202.06
1998,South Carolina,SC,140139,76.6,3.8,3840,51366,213.43
1999,South Carolina,SC,146526,77.1,4.3,3886,55125,224.59
2000,South Carolina,SC,150501,76.5,3.8,4024,54936,234.61
2001,South Carolina,SC,151105,76.1,5.2,4065,53652,249.10
2002,South Carolina,SC,154698,77.5,5.8,4108,52925,257.98
2003,South Carolina,SC,160138,75,6.9,4150,52663,266.90
2004,South Carolina,SC,162238,76.2,6.8,4211,51560,279.02
2005,South Carolina,SC,166574,73.9,6.7,4270,51854,300.36
2006,South Carolina,SC,170339,74.2,6.4,4358,48221,322.94
2007,South Carolina,SC,175090,74.1,5.7,4444,48127,337.58
2008,South Carolina,SC,174584,73.9,6.8,4529,49461,339.38
2009,South Carolina,SC,166850,74.4,11.2,4590,44850,331.49
2010,South Carolina,SC,170167,74.8,11.2,4636,49285,316.22
2011,South Carolina,SC,174128,74.2,10.6,4671,53677,303.40
2012,South Carolina,SC,175375,71.5,9.2,4717,48650,300.38
2013,South Carolina,SC,178940,72.4,7.6,4764,47035,301.96
2014,South Carolina,SC,183282,72.9,6.5,4824,47702,309.52
2015,South Carolina,SC,189167,67.1,6,4892,49137,325.65
2016,South Carolina,SC,194466,68.9,5,4958,56858,343.56
2017,South Carolina,SC,199491,72.8,4.3,5021,55866,363.71
2018,South Carolina,SC,202771,72,3.4,5084,57444,389.14
1997,South Dakota,SD,24976,67.6,2.9,731,46470,181.17
1998,South Dakota,SD,26452,67.3,2.8,731,50623,188.76
1999,South Dakota,SD,27501,70.7,2.7,733,54167,195.11
2000,South Dakota,SD,29407,71.2,2.5,756,53335,202.82
2001,South Dakota,SD,29746,71.5,3.1,758,56403,213.57
2002,South Dakota,SD,32958,71.5,3.2,760,53011,222.90
2003,South Dakota,SD,33657,70.9,3.5,764,54090,232.16
2004,South Dakota,SD,35071,68.5,3.7,770,54780,245.35
2005,South Dakota,SD,35907,68.4,3.8,775,55620,262.61
2006,South Dakota,SD,36459,70.6,3.1,783,56715,274.97
2007,South Dakota,SD,38057,70.4,2.8,792,56354,285.61
2008,South Dakota,SD,39643,70.4,3.1,799,60328,292.87
2009,South Dakota,SD,39732,69.6,4.9,807,53764,293.98
2010,South Dakota,SD,40130,70.6,5,816,52344,291.29
2011,South Dakota,SD,42794,69.3,4.7,823,52838,291.86
2012,South Dakota,SD,43445,69.2,4.3,833,54144,296.66
2013,South Dakota,SD,43602,67.8,3.8,842,57670,307.25
2014,South Dakota,SD,44100,69.2,3.4,849,56328,316.47
2015,South Dakota,SD,45266,70.1,3.1,854,58301,330.30
2016,South Dakota,SD,45424,69.4,3,863,58364,345.74
2017,South Dakota,SD,45265,67.8,3.2,873,60116,365.69
2018,South Dakota,SD,45874,69.1,3,882,59463,384.95
1997,Tennesse,TN,210844,70.2,5.3,5378,47944,194.19
1998,Tennesse,TN,223769,71.3,4.3,5433,52638,204.42
1999,Tennesse,TN,230418,71.9,4,5484,55216,211.00
2000,Tennesse,TN,233153,70.9,3.9,5704,50875,216.76
2001,Tennesse,TN,232723,69.7,4.6,5751,49856,227.32
2002,Tennesse,TN,240522,70.3,5.2,5796,51831,233.93
2003,Tennesse,TN,247824,70.8,5.6,5848,51355,241.83
2004,Tennesse,TN,259337,71.6,5.3,5911,50735,251.73
2005,Tennesse,TN,264652,72.4,5.6,5991,47535,268.06
2006,Tennesse,TN,271465,71.3,5.2,6089,50792,287.16
2007,Tennesse,TN,268756,70.2,4.7,6176,44541,300.51
2008,Tennesse,TN,272011,71.7,6.6,6247,50013,301.53
2009,Tennesse,TN,263016,71.1,10.5,6306,50804,295.93
2010,Tennesse,TN,266727,71,9.7,6355,46417,287.26
2011,Tennesse,TN,274804,69.3,9,6397,47306,279.63
2012,Tennesse,TN,283722,67.9,7.8,6451,47110,279.31
2013,Tennesse,TN,286801,66.8,7.8,6493,46817,284.06
2014,Tennesse,TN,291527,66.7,6.6,6541,46415,294.80
2015,Tennesse,TN,300581,66.5,5.6,6591,50165,309.35
2016,Tennesse,TN,306343,66.4,4.7,6645,53727,328.86
2017,Tennesse,TN,313573,67.2,3.8,6709,56654,352.68
2018,Tennesse,TN,322898,68,3.5,6770,56060,380.80
1997,Texas,TX,872763,61.5,5.3,19355,54891,139.49
1998,Texas,TX,928374,62.5,4.9,19712,55251,146.17
1999,Texas,TX,965677,62.9,4.7,20044,58491,154.08
2000,Texas,TX,998297,63.8,4.3,20944,56456,163.50
2001,Texas,TX,1021889,63.9,5,21320,58093,174.38
2002,Texas,TX,1041811,63.4,6.4,21690,56196,180.58
2003,Texas,TX,1048299,64.5,6.7,22031,53747,186.12
2004,Texas,TX,1102696,65.5,5.9,22394,55166,191.17
2005,Texas,TX,1132796,65.9,5.4,22778,53391,199.58
2006,Texas,TX,1210287,66,4.9,23360,54068,210.80
2007,Texas,TX,1274303,66,4.3,23832,55699,221.65
2008,Texas,TX,1275774,65.5,4.8,24309,55911,225.69
2009,Texas,TX,1271436,65.4,7.6,24802,54353,225.98
2010,Texas,TX,1301727,65.3,8.1,25243,54554,223.08
2011,Texas,TX,1343791,64.3,7.8,25646,54879,219.94
2012,Texas,TX,1411379,64.3,6.7,26090,56896,223.19
2013,Texas,TX,1472104,63.3,6.3,26489,55503,233.14
2014,Texas,TX,1512351,62.2,5.1,26977,57201,249.90
2015,Texas,TX,1589956,61.9,4.4,27487,59856,268.43
2016,Texas,TX,1593149,61.5,4.6,27937,60844,288.57
2017,Texas,TX,1624949,61.7,4.3,28323,61557,311.07
2018,Texas,TX,1676679,62.7,3.9,28702,59785,333.16
1997,Utah,UT,57700,72.5,3.2,2065,66941,222.34
1998,Utah,UT,62291,73.7,3.6,2101,68400,233.72
1999,Utah,UT,66023,74.7,3.5,2130,69621,236.54
2000,Utah,UT,70292,72.7,3.3,2245,69529,238.90
2001,Utah,UT,73226,72.4,4.4,2284,67309,249.28
2002,Utah,UT,75999,72.8,5.8,2325,66991,252.56
2003,Utah,UT,79149,73.4,5.6,2360,67439,256.73
2004,Utah,UT,85702,74.9,5,2402,67791,264.74
2005,Utah,UT,94195,73.9,4.1,2458,70651,290.07
2006,Utah,UT,106124,73.5,3,2526,68202,335.77
2007,Utah,UT,114653,74.9,2.6,2598,68623,376.69
2008,Utah,UT,115985,76.2,3.6,2663,64987,371.73
2009,Utah,UT,113333,74.1,7.3,2723,73115,342.08
2010,Utah,UT,117961,72.5,7.8,2775,65443,320.66
2011,Utah,UT,124539,71.4,6.7,2814,62092,303.47
2012,Utah,UT,128721,71.1,5.4,2853,63924,307.81
2013,Utah,UT,134252,70.9,4.6,2898,65913,329.31
2014,Utah,UT,141343,70.9,3.8,2937,67296,348.65
2015,Utah,UT,149524,69.9,3.6,2982,70227,367.88
2016,Utah,UT,157902,71.3,3.4,3043,70613,394.93
2017,Utah,UT,165703,71,3.3,3103,71490,432.10
2018,Utah,UT,177336,72.2,3.1,3161,77067,476.94
1997,Virginia,VA,217252,68.4,3.8,6733,54857,205.92
1998,Virginia,VA,233096,69.4,2.9,6789,60792,212.50
1999,Virginia,VA,249798,71.2,2.7,6873,62869,221.64
2000,Virginia,VA,266886,73.9,2.3,7106,57896,236.80
2001,Virginia,VA,284002,75.1,3.2,7198,57999,257.21
2002,Virginia,VA,293276,74.4,4.2,7287,60186,279.61
2003,Virginia,VA,309981,75,4.1,7367,59208,302.51
2004,Virginia,VA,332251,73.4,3.8,7476,63071,347.71
2005,Virginia,VA,360300,71.2,3.6,7577,65355,414.76
2006,Virginia,VA,379129,71.1,3.1,7674,64897,458.22
2007,Virginia,VA,392917,71.5,3,7751,57534,466.09
2008,Virginia,VA,399032,70.6,3.9,7833,59283,443.34
2009,Virginia,VA,408919,69.7,6.7,7926,61381,419.28
2010,Virginia,VA,422902,68.7,7.1,8024,64551,403.41
2011,Virginia,VA,432393,67.9,6.6,8100,58029,392.53
2012,Virginia,VA,444950,67.8,6.1,8185,60901,391.60
2013,Virginia,VA,455070,68.1,5.7,8253,70735,397.64
2014,Virginia,VA,463782,68.7,5.2,8312,64455,408.03
2015,Virginia,VA,484628,67.1,4.5,8363,63058,419.79
2016,Virginia,VA,493866,66.3,4.1,8411,63660,431.18
2017,Virginia,VA,510425,67.5,3.7,8465,65234,446.33
2018,Virginia,VA,534449,66,3,8518,70066,465.45
1997,Vermont,VT,15415,69.1,3.9,589,67226,224.58
1998,Vermont,VT,16073,69.1,3.4,591,66941,229.94
1999,Vermont,VT,17159,69.1,3,594,69081,239.53
2000,Vermont,VT,18312,68.7,2.8,610,68964,257.29
2001,Vermont,VT,19274,69.8,3.3,612,71431,276.91
2002,Vermont,VT,20163,70.3,4,615,69468,297.89
2003,Vermont,VT,21130,71.4,4.3,618,74977,319.56
2004,Vermont,VT,22666,72,3.7,620,68151,362.48
2005,Vermont,VT,23509,74.2,3.5,621,66915,412.98
2006,Vermont,VT,24310,74,3.7,623,71312,446.38
2007,Vermont,VT,24697,73.7,4,623,71824,457.66
2008,Vermont,VT,25678,72.8,4.7,624,72469,456.76
2009,Vermont,VT,25868,74.3,6.6,625,70981,446.52
2010,Vermont,VT,27108,73.6,6.1,626,69675,440.50
2011,Vermont,VT,28135,74.6,5.5,627,70062,436.66
2012,Vermont,VT,28887,73.4,5,626,70818,437.70
2013,Vermont,VT,29099,73,4.4,626,71160,437.72
2014,Vermont,VT,29714,73.5,3.9,625,70239,438.06
2015,Vermont,VT,30709,71.8,3.6,625,65169,446.18
2016,Vermont,VT,31635,71.3,3.2,624,69535,453.49
2017,Vermont,VT,32623,71.1,3,625,72537,465.03
2018,Vermont,VT,33725,71.4,2.7,626,77151,480.87
1997,Washington,WA,193898,62.9,4.9,5604,69738,231.56
1998,Washington,WA,210205,64.9,4.8,5688,73220,247.15
1999,Washington,WA,230555,64.8,4.9,5756,68749,260.29
2000,Washington,WA,237832,63.6,5.2,5911,62182,273.85
2001,Washington,WA,239426,66.4,6.3,5986,60411,290.65
2002,Washington,WA,248189,66.9,7.4,6052,63243,303.34
2003,Washington,WA,258263,65.9,7.4,6104,65020,316.51
2004,Washington,WA,270115,66,6.3,6179,66527,346.60
2005,Washington,WA,296101,67.6,5.6,6257,65280,401.86
2006,Washington,WA,317167,66.7,5,6371,68321,464.54
2007,Washington,WA,346443,66.8,4.7,6462,70512,496.84
2008,Washington,WA,355678,66.2,5.4,6562,70853,483.52
2009,Washington,WA,353632,65.5,9.2,6667,66210,442.35
2010,Washington,WA,365552,64.4,10,6743,64822,412.66
2011,Washington,WA,379539,64.2,9.3,6822,63610,385.51
2012,Washington,WA,400863,63.5,8.1,6893,68139,380.10
2013,Washington,WA,419345,62.7,7,6963,69017,399.81
2014,Washington,WA,442442,63.6,6.1,7052,62714,427.25
2015,Washington,WA,470582,62.6,5.6,7164,71271,461.82
2016,Washington,WA,492943,61.6,5.3,7295,73573,510.33
2017,Washington,WA,522426,63.6,4.7,7425,73284,567.71
2018,Washington,WA,563151,64.9,4.5,7536,79726,628.54
1997,Wisconsin,WI,153241,68.3,3.6,5200,43018,199.47
1998,Wisconsin,WI,162523,70.1,3.4,5222,41232,207.21
1999,Wisconsin,WI,172258,70.9,3.1,5250,44293,217.62
2000,Wisconsin,WI,180539,71.8,3.5,5374,43006,230.92
2001,Wisconsin,WI,187939,72.3,4.5,5407,42188,243.06
2002,Wisconsin,WI,194813,72.2,5.4,5445,41094,255.32
2003,Wisconsin,WI,203135,72.8,5.7,5479,44840,267.51
2004,Wisconsin,WI,215139,73.3,5,5514,44473,289.15
2005,Wisconsin,WI,225698,71.1,4.7,5546,46976,311.70
2006,Wisconsin,WI,235709,70.2,4.7,5578,47965,322.19
2007,Wisconsin,WI,243767,70.5,4.9,5611,51101,326.29
2008,Wisconsin,WI,244760,70.4,4.9,5641,44420,321.08
2009,Wisconsin,WI,245539,70.4,8.6,5669,47504,311.64
2010,Wisconsin,WI,254354,71,8.7,5690,49372,302.15
2011,Wisconsin,WI,263882,68.5,7.8,5705,46794,293.17
2012,Wisconsin,WI,274344,67.5,7,5720,47721,290.95
2013,Wisconsin,WI,282385,68.5,6.7,5737,46412,290.69
2014,Wisconsin,WI,293519,67.8,5.4,5752,45389,294.63
2015,Wisconsin,WI,304852,66.6,4.6,5761,46502,304.42
2016,Wisconsin,WI,312141,67.7,4,5773,41993,316.92
2017,Wisconsin,WI,321584,68,3.3,5792,48102,333.90
2018,Wisconsin,WI,336972,67.9,3,5814,50573,355.62
1997,West Virginia,WV,38840,74.6,6.9,1816,61965,141.19
1998,West Virginia,WV,40086,74.8,6.6,1812,63811,147.90
1999,West Virginia,WV,41831,74.8,6.5,1807,69042,150.63
2000,West Virginia,WV,42607,75.9,5.5,1807,65929,153.13
2001,West Virginia,WV,43978,76.4,5,1801,64471,161.50
2002,West Virginia,WV,45434,77.2,5.9,1805,64250,167.20
2003,West Virginia,WV,46668,78.1,6,1812,63324,173.64
2004,West Virginia,WV,49272,80.3,5.3,1816,60943,184.46
2005,West Virginia,WV,53259,81.3,5.1,1820,57552,202.32
2006,West Virginia,WV,56530,78.4,4.9,1828,64536,214.36
2007,West Virginia,WV,58636,77.6,4.6,1834,62253,219.07
2008,West Virginia,WV,62067,77.8,4.3,1840,59860,218.61
2009,West Virginia,WV,62958,78.7,7.7,1848,60112,214.38
2010,West Virginia,WV,65274,79,8.7,1854,58114,211.76
2011,West Virginia,WV,68525,78.7,8.1,1856,58248,208.56
2012,West Virginia,WV,69399,75.8,7.5,1857,58159,209.44
2013,West Virginia,WV,71038,76.8,6.8,1854,55849,212.43
2014,West Virginia,WV,72027,75.6,6.6,1849,61665,216.93
2015,West Virginia,WV,70341,74.9,6.7,1842,58745,222.80
2016,West Virginia,WV,69814,74.8,6.1,1831,62593,227.32
2017,West Virginia,WV,73099,75.1,5.2,1817,65029,230.39
2018,West Virginia,WV,77477,74.7,5.3,1806,62629,237.97
1997,Wyoming,WY,14724,67.6,4.8,480,52306,138.11
1998,Wyoming,WY,14928,70,4.7,480,54428,142.94
1999,Wyoming,WY,15711,69.8,4.6,480,56314,146.91
2000,Wyoming,WY,17205,71,3.9,494,57947,153.17
2001,Wyoming,WY,18661,73.5,3.8,495,56471,162.00
2002,Wyoming,WY,19116,73,4,500,55656,172.46
2003,Wyoming,WY,21028,72.9,4.3,503,58241,183.03
2004,Wyoming,WY,23187,72.8,3.8,509,60497,200.10
2005,Wyoming,WY,27178,72.8,3.6,514,57639,222.89
2006,Wyoming,WY,32405,73.7,3.2,523,58730,250.90
2007,Wyoming,WY,36603,73.2,2.8,535,60513,275.03
2008,Wyoming,WY,42540,73.3,3.1,546,61559,280.74
2009,Wyoming,WY,36042,73.8,6.3,560,59178,275.56
2010,Wyoming,WY,37401,73.4,6.4,564,60249,267.44
2011,Wyoming,WY,39371,71.1,5.8,567,60987,263.95
2012,Wyoming,WY,38432,70.3,5.3,576,64575,267.38
2013,Wyoming,WY,38923,70.5,4.7,582,63016,273.78
2014,Wyoming,WY,39372,70.8,4.1,583,72817,282.23
2015,Wyoming,WY,37740,69.9,4.3,586,60991,292.50
2016,Wyoming,WY,35905,70.2,5.3,584,62539,299.48
2017,Wyoming,WY,37625,70.4,4.2,579,59128,304.13
2018,Wyoming,WY,39371,71.1,4.1,578,62359,317.60