year,state,state_abbrev,GDP,homeownership(%),unemployment_rate,population(thousands),
1997,Alabama,AL,143646,71.3,5.0,4320,
1998,Alabama,AL,148596,72.9,4.4,4351,
1999,Alabama,AL,154094,74.8,4.7,4370,
2000,Alabama,AL,156560,73.2,4.6,4452,
2001,Alabama,AL,156404,73.2,5.1,4468,
2002,Alabama,AL,160870,73.7,5.9,4480,
2003,Alabama,AL,164992,76.2,6.0,4503,
2004,Alabama,AL,175508,78.0,5.7,4531,
2005,Alabama,AL,181386,76.6,4.5,4570,
2006,Alabama,AL,184796,74.2,4.0,4629,
2007,Alabama,AL,185869,73.3,4.0,4673,
2008,Alabama,AL,185298,73.0,5.7,4718,
2009,Alabama,AL,178021,74.1,11.0,4758,
2010,Alabama,AL,182263,73.2,10.5,4785,
2011,Alabama,AL,185055,72.9,9.6,4799,
2012,Alabama,AL,186299,71.9,8.0,4816,
2013,Alabama,AL,188165,72.7,7.2,4830,
2014,Alabama,AL,186335,72.1,6.8,4842,
2015,Alabama,AL,188716,70.0,6.1,4853,
2016,Alabama,AL,189614,69.7,5.8,4865,
2017,Alabama,AL,193053,70.0,4.4,4875,
2018,Alabama,AL,196876,70.3,3.9,4888,
1997,Alaska,AK,42262,67.2,7.1,609,
1998,Alaska,AK,41157,66.3,6.3,615,
1999,Alaska,AK,40722,66.4,6.5,620,
2000,Alaska,AK,39517,66.4,6.4,628,
2001,Alaska,AK,40974,65.3,6.4,634,
2002,Alaska,AK,42881,67.1,7.3,642,
2003,Alaska,AK,42151,70.0,7.8,648,
2004,Alaska,AK,43735,67.2,7.5,659,
2005,Alaska,AK,45052,66.0,6.9,667,
2006,Alaska,AK,48517,67.2,6.6,675,
2007,Alaska,AK,51114,66.6,6.3,680,
2008,Alaska,AK,50884,66.4,6.7,687,
2009,Alaska,AK,55838,66.8,7.7,699,
2010,Alaska,AK,54151,65.7,7.9,714,
2011,Alaska,AK,54646,64.4,7.6,722,
2012,Alaska,AK,57670,63.7,7.1,730,
2013,Alaska,AK,54750,64.6,7.0,737,
2014,Alaska,AK,53209,64.9,6.9,736,
2015,Alaska,AK,53585,62.3,6.5,738,
2016,Alaska,AK,52608,65.2,6.9,742,
2017,Alaska,AK,52492,65.5,7.0,740,
2018,Alaska,AK,52311,63.7,6.6,737,
1997,Arkansas,AR,82756,66.7,5.2,2524,
1998,Arkansas,AR,84795,66.7,5.2,2538,
1999,Arkansas,AR,89317,65.6,4.6,2551,
2000,Arkansas,AR,90206,68.9,4.3,2679,
2001,Arkansas,AR,89923,71.2,5.0,2692,
2002,Arkansas,AR,92885,70.3,5.5,2706,
2003,Arkansas,AR,96545,69.6,5.9,2725,
2004,Arkansas,AR,101210,69.1,5.7,2750,
2005,Arkansas,AR,104653,69.2,5.2,2781,
2006,Arkansas,AR,106940,70.8,5.2,2822,
2007,Arkansas,AR,106155,69.5,5.3,2849,
2008,Arkansas,AR,105791,68.9,5.5,2875,
2009,Arkansas,AR,102528,68.5,7.8,2897,
2010,Arkansas,AR,105923,67.9,8.2,2922,
2011,Arkansas,AR,108295,67.6,8.3,2940,
2012,Arkansas,AR,108745,66.0,7.6,2952,
2013,Arkansas,AR,111779,65.4,7.2,2960,
2014,Arkansas,AR,112706,65.4,6.0,2968,
2015,Arkansas,AR,113177,67.1,5.0,2978,
2016,Arkansas,AR,113788,67.6,4.0,2990,
2017,Arkansas,AR,114851,65.0,3.7,3003,
2018,Arkansas,AR,115933,64.7,3.7,3014,
1997,Arizona,AZ,168551,63.0,4.6,4552,
1998,Arizona,AZ,183138,64.3,4.3,4667,
1999,Arizona,AZ,198096,66.3,4.4,4778,
2000,Arizona,AZ,207793,68.0,4.0,5161,
2001,Arizona,AZ,212656,68.1,4.8,5273,
2002,Arizona,AZ,219311,65.6,6.1,5396,
2003,Arizona,AZ,233342,67.0,5.7,5510,
2004,Arizona,AZ,243246,68.7,5.0,5652,
2005,Arizona,AZ,263061,71.1,4.7,5839,
2006,Arizona,AZ,277288,71.6,4.2,6029,
2007,Arizona,AZ,284907,70.4,3.9,6168,
2008,Arizona,AZ,277477,69.1,6.2,6280,
2009,Arizona,AZ,255081,68.9,9.9,6343,
2010,Arizona,AZ,257485,66.6,10.4,6408,
2011,Arizona,AZ,263211,66.0,9.5,6473,
2012,Arizona,AZ,268289,65.3,8.3,6557,
2013,Arizona,AZ,270149,65.1,7.7,6635,
2014,Arizona,AZ,273407,63.5,6.8,6734,
2015,Arizona,AZ,279435,61.7,6.1,6834,
2016,Arizona,AZ,288682,61.9,5.4,6945,
2017,Arizona,AZ,297210,64.4,4.9,7049,
2018,Arizona,AZ,309067,65.7,4.8,7172,
1997,California,CA,1378654,55.7,6.4,32218,
1998,California,CA,1470393,56.0,5.9,32683,
1999,California,CA,1582377,55.7,5.2,33145,
2000,California,CA,1709939,57.1,4.9,33988,
2001,California,CA,1702776,58.2,5.4,34479,
2002,California,CA,1743651,57.7,6.7,34872,
2003,California,CA,1825424,58.9,6.8,35253,
2004,California,CA,1902319,59.7,6.2,35575,
2005,California,CA,1990141,59.7,5.4,35828,
2006,California,CA,2072177,60.2,4.9,36021,
2007,California,CA,2103618,58.3,5.4,36250,
2008,California,CA,2111138,57.5,7.3,36604,
2009,California,CA,2026487,57.0,11.2,36961,
2010,California,CA,2058138,56.1,12.2,37321,
2011,California,CA,2091586,55.3,11.7,37642,
2012,California,CA,2144497,54.5,10.4,37961,
2013,California,CA,2220868,54.3,8.9,38281,
2014,California,CA,2309928,54.2,7.5,38625,
2015,California,CA,2426143,54.3,6.2,38953,
2016,California,CA,2498840,53.8,5.5,39209,
2017,California,CA,2587572,54.4,4.8,39399,
2018,California,CA,2677939,55.1,4.2,39557,
1997,Colorado,CO,184193,64.1,3.5,3891,
1998,Colorado,CO,201076,65.2,3.6,3969,
1999,Colorado,CO,216300,68.1,3.1,4056,
2000,Colorado,CO,232752,68.3,2.8,4327,
2001,Colorado,CO,236383,68.5,3.8,4426,
2002,Colorado,CO,236786,68.9,5.5,4490,
2003,Colorado,CO,238540,71.3,6.0,4529,
2004,Colorado,CO,240798,71.1,5.5,4575,
2005,Colorado,CO,250840,71.0,5.0,4632,
2006,Colorado,CO,256124,70.1,4.3,4720,
2007,Colorado,CO,264577,70.2,3.7,4804,
2008,Colorado,CO,267713,69.0,4.8,4890,
2009,Colorado,CO,262380,68.4,7.3,4972,
2010,Colorado,CO,264791,68.5,8.7,5048,
2011,Colorado,CO,268681,65.9,8.4,5122,
2012,Colorado,CO,273520,65.3,7.9,5194,
2013,Colorado,CO,282534,64.4,6.9,5270,
2014,Colorado,CO,295010,65.0,5.0,5351,
2015,Colorado,CO,307912,63.6,3.9,5452,
2016,Colorado,CO,315425,62.4,3.2,5541,
2017,Colorado,CO,325129,63.7,2.7,5616,
2018,Colorado,CO,336365,64.4,3.3,5696,
1997,Connecticut,CT,190791,68.1,5.0,3269,
1998,Connecticut,CT,196248,69.3,3.4,3273,
1999,Connecticut,CT,202230,69.1,2.9,3282,
2000,Connecticut,CT,216370,70.0,2.4,3412,
2001,Connecticut,CT,220287,71.8,3.1,3433,
2002,Connecticut,CT,219959,71.5,4.3,3459,
2003,Connecticut,CT,222240,73.0,5.4,3484,
2004,Connecticut,CT,237133,71.7,5.0,3496,
2005,Connecticut,CT,242485,70.5,4.9,3507,
2006,Connecticut,CT,251581,71.1,4.3,3517,
2007,Connecticut,CT,261129,70.3,4.5,3527,
2008,Connecticut,CT,259722,70.7,5.7,3546,
2009,Connecticut,CT,248041,70.5,7.9,3562,
2010,Connecticut,CT,247461,70.8,9.1,3579,
2011,Connecticut,CT,242020,70.6,8.8,3588,
2012,Connecticut,CT,243801,68.8,8.3,3594,
2013,Connecticut,CT,241081,68.5,7.8,3595,
2014,Connecticut,CT,237558,67.4,6.6,3595,
2015,Connecticut,CT,241916,66.5,5.7,3588,
2016,Connecticut,CT,241447,64.2,5.1,3579,
2017,Connecticut,CT,239884,66.1,4.7,3574,
2018,Connecticut,CT,242171,65.3,4.1,3573,
1997,Delaware,DE,45231,69.2,4.0,735,
1998,Delaware,DE,49743,71.0,3.7,744,
1999,Delaware,DE,53862,71.6,3.4,754,
2000,Delaware,DE,56109,72.0,3.7,786,
2001,Delaware,DE,58882,75.4,3.5,796,
2002,Delaware,DE,56814,75.6,4.0,806,
2003,Delaware,DE,57957,77.2,4.3,818,
2004,Delaware,DE,60682,77.3,4.0,831,
2005,Delaware,DE,59974,75.8,4.1,845,
2006,Delaware,DE,61497,76.8,3.6,859,
2007,Delaware,DE,61235,76.8,3.4,872,
2008,Delaware,DE,58656,76.2,4.9,884,
2009,Delaware,DE,60404,76.5,8.3,892,
2010,Delaware,DE,60016,74.7,8.4,900,
2011,Delaware,DE,62017,74.2,7.5,907,
2012,Delaware,DE,61976,73.4,7.2,915,
2013,Delaware,DE,59157,74.1,6.7,924,
2014,Delaware,DE,63693,74.3,5.7,933,
2015,Delaware,DE,65635,73.3,4.9,941,
2016,Delaware,DE,63718,73.0,4.5,949,
2017,Delaware,DE,63651,70.0,4.5,957,
2018,Delaware,DE,63855,70.8,3.8,967,
1997,Florida,FL,560888,66.9,4.8,14683,
1998,Florida,FL,590135,66.9,4.3,14908,
1999,Florida,FL,616625,67.6,3.9,15111,
2000,Florida,FL,642693,68.4,3.7,16048,
2001,Florida,FL,658640,69.2,4.7,16357,
2002,Florida,FL,685304,68.7,5.6,16689,
2003,Florida,FL,715436,69.5,5.2,17004,
2004,Florida,FL,757054,72.2,4.6,17415,
2005,Florida,FL,806339,72.4,3.7,17842,
2006,Florida,FL,834346,72.4,3.2,18167,
2007,Florida,FL,835867,71.8,4.0,18368,
2008,Florida,FL,803218,71.1,6.3,18527,
2009,Florida,FL,758264,70.9,10.4,18653,
2010,Florida,FL,766199,69.3,11.1,18846,
2011,Florida,FL,763746,69.0,10.0,19093,
2012,Florida,FL,769309,67.0,8.5,19326,
2013,Florida,FL,784090,66.1,7.2,19563,
2014,Florida,FL,804322,64.9,6.3,19860,
2015,Florida,FL,835928,64.8,5.5,20224,
2016,Florida,FL,864029,64.3,4.8,20630,
2017,Florida,FL,885906,64.1,4.2,20977,
2018,Florida,FL,916975,65.5,3.6,21299,
1997,Georgia,GA,328995,70.9,4.6,7486,
1998,Georgia,GA,352713,71.2,4.3,7637,
1999,Georgia,GA,377608,71.3,3.9,7788,
2000,Georgia,GA,393195,69.8,3.6,8227,
2001,Georgia,GA,396875,70.1,4.0,8377,
2002,Georgia,GA,400092,71.8,5.0,8508,
2003,Georgia,GA,410588,71.4,4.8,8623,
2004,Georgia,GA,429314,70.9,4.8,8769,
2005,Georgia,GA,445533,67.9,5.3,8926,
2006,Georgia,GA,450584,68.5,4.7,9156,
2007,Georgia,GA,453061,67.6,4.5,9350,
2008,Georgia,GA,443416,68.2,6.2,9505,
2009,Georgia,GA,426264,67.4,9.9,9621,
2010,Georgia,GA,433027,67.1,10.5,9712,
2011,Georgia,GA,439891,66.2,10.2,9802,
2012,Georgia,GA,444132,64.3,9.2,9901,
2013,Georgia,GA,450772,64.2,8.2,9973,
2014,Georgia,GA,464061,62.9,7.1,10069,
2015,Georgia,GA,479242,62.9,6.0,10181,
2016,Georgia,GA,495226,62.3,5.4,10305,
2017,Georgia,GA,509422,62.8,4.7,10413,
2018,Georgia,GA,522424,63.8,3.9,10519,
1997,Hawaii,HI,55679,50.2,6.2,1189,
1998,Hawaii,HI,54360,52.8,6.1,1190,
1999,Hawaii,HI,55182,56.6,5.4,1185,
2000,Hawaii,HI,56417,55.2,4.2,1214,
2001,Hawaii,HI,56019,55.5,4.5,1226,
2002,Hawaii,HI,57912,57.9,4.2,1240,
2003,Hawaii,HI,60838,58.3,4.1,1251,
2004,Hawaii,HI,64928,60.6,3.4,1274,
2005,Hawaii,HI,68566,59.8,2.9,1293,
2006,Hawaii,HI,70403,59.9,2.6,1310,
2007,Hawaii,HI,71192,60.1,2.8,1316,
2008,Hawaii,HI,71689,59.1,4.3,1332,
2009,Hawaii,HI,69095,59.5,7.2,1347,
2010,Hawaii,HI,71007,56.1,6.9,1364,
2011,Hawaii,HI,72080,55.4,6.8,1379,
2012,Hawaii,HI,73583,57.2,6.0,1395,
2013,Hawaii,HI,74278,57.3,4.9,1408,
2014,Hawaii,HI,74504,58.4,4.4,1415,
2015,Hawaii,HI,77023,59.3,3.6,1422,
2016,Hawaii,HI,78757,57.7,3.0,1428,
2017,Hawaii,HI,79998,55.9,2.4,1424,
2018,Hawaii,HI,80798,59.5,2.4,1420,
1997,Iowa,IA,113365,72.7,3.1,2854,
1998,Iowa,IA,114230,72.1,2.7,2861,
1999,Iowa,IA,116663,73.9,2.6,2869,
2000,Iowa,IA,122159,75.2,2.6,2929,
2001,Iowa,IA,120669,76.6,3.3,2932,
2002,Iowa,IA,124097,73.9,4.0,2934,
2003,Iowa,IA,129316,73.4,4.5,2942,
2004,Iowa,IA,139749,73.2,4.5,2954,
2005,Iowa,IA,143876,73.9,4.3,2964,
2006,Iowa,IA,145887,74.0,3.7,2983,
2007,Iowa,IA,152251,73.7,3.7,2999,
2008,Iowa,IA,149132,74.0,4.2,3017,
2009,Iowa,IA,145618,72.4,6.4,3033,
2010,Iowa,IA,149536,71.1,6.0,3051,
2011,Iowa,IA,151248,71.2,5.5,3066,
2012,Iowa,IA,157251,70.2,5.0,3076,
2013,Iowa,IA,156637,69.8,4.7,3093,
2014,Iowa,IA,164721,69.4,4.2,3110,
2015,Iowa,IA,168252,68.8,3.8,3121,
2016,Iowa,IA,168909,70.0,3.6,3132,
2017,Iowa,IA,168332,70.0,3.1,3144,
2018,Iowa,IA,170749,68.9,2.5,3156,
1997,Idaho,ID,37015,72.3,5.1,1211,
1998,Idaho,ID,38791,72.6,5.1,1231,
1999,Idaho,ID,42496,70.3,4.9,1252,
2000,Idaho,ID,47325,70.5,4.7,1299,
2001,Idaho,ID,46062,71.7,5.1,1320,
2002,Idaho,ID,47208,73.0,5.6,1340,
2003,Idaho,ID,48536,74.4,5.6,1363,
2004,Idaho,ID,51241,73.7,4.9,1392,
2005,Idaho,ID,55387,74.2,4.0,1428,
2006,Idaho,ID,57590,75.1,3.5,1469,
2007,Idaho,ID,58703,74.5,3.1,1505,
2008,Idaho,ID,59704,75.0,5.1,1534,
2009,Idaho,ID,57088,75.5,8.8,1554,
2010,Idaho,ID,57907,72.4,9.0,1571,
2011,Idaho,ID,57797,72.4,8.3,1584,
2012,Idaho,ID,57764,73.0,7.2,1595,
2013,Idaho,ID,59831,71.5,6.1,1612,
2014,Idaho,ID,61367,69.6,4.8,1631,
2015,Idaho,ID,63208,70.0,4.2,1652,
2016,Idaho,ID,65565,70.5,3.8,1683,
2017,Idaho,ID,67161,69.9,3.2,1719,
2018,Idaho,ID,69892,69.2,2.8,1754,
1997,Illinois,IL,577804,68.1,4.8,12012,
1998,Illinois,IL,595833,68.0,4.4,12070,
1999,Illinois,IL,617315,67.1,4.4,12128,
2000,Illinois,IL,641749,67.9,4.3,12434,
2001,Illinois,IL,644181,69.4,5.3,12488,
2002,Illinois,IL,647868,70.1,6.5,12526,
2003,Illinois,IL,655835,70.7,6.8,12556,
2004,Illinois,IL,673262,72.7,6.2,12590,
2005,Illinois,IL,685897,70.9,5.7,12610,
2006,Illinois,IL,704495,70.4,4.5,12644,
2007,Illinois,IL,712710,69.4,5.0,12696,
2008,Illinois,IL,699430,68.9,6.3,12747,
2009,Illinois,IL,682966,69.1,10.2,12797,
2010,Illinois,IL,694961,68.8,10.4,12841,
2011,Illinois,IL,707060,68.4,9.7,12867,
2012,Illinois,IL,720702,66.8,9.0,12884,
2013,Illinois,IL,724616,67.2,9.0,12898,
2014,Illinois,IL,734218,66.4,7.1,12889,
2015,Illinois,IL,741725,65.4,6.0,12864,
2016,Illinois,IL,743817,65.3,5.8,12827,
2017,Illinois,IL,748162,65.4,4.9,12786,
2018,Illinois,IL,764212,66.0,4.3,12741,
1997,Indiana,IN,232247,74.1,3.5,5872,
1998,Indiana,IN,246380,72.6,3.1,5908,
1999,Indiana,IN,254489,72.9,3.0,5943,
2000,Indiana,IN,263693,74.9,3.1,6092,
2001,Indiana,IN,258661,75.3,4.2,6128,
2002,Indiana,IN,265106,75.1,5.2,6156,
2003,Indiana,IN,275194,74.4,5.3,6197,
2004,Indiana,IN,284656,75.8,5.4,6233,
2005,Indiana,IN,285492,75.0,5.5,6279,
2006,Indiana,IN,291269,74.2,5.0,6333,
2007,Indiana,IN,299423,73.8,4.6,6380,
2008,Indiana,IN,298264,74.4,5.9,6425,
2009,Indiana,IN,277474,72.0,10.3,6459,
2010,Indiana,IN,295133,71.2,10.4,6490,
2011,Indiana,IN,296472,72.1,9.1,6516,
2012,Indiana,IN,297553,72.1,8.3,6538,
2013,Indiana,IN,303920,71.7,7.7,6568,
2014,Indiana,IN,313057,70.1,6.0,6594,
2015,Indiana,IN,309877,69.4,4.8,6608,
2016,Indiana,IN,315130,70.9,4.4,6633,
2017,Indiana,IN,320084,70.0,3.6,6660,
2018,Indiana,IN,326148,69.8,3.4,6692,
1997,Kansas,KS,104770,66.5,3.8,2616,
1998,Kansas,KS,108508,66.7,3.5,2639,
1999,Kansas,KS,111201,67.5,3.3,2654,
2000,Kansas,KS,113972,69.3,3.6,2694,
2001,Kansas,KS,113853,70.4,4.2,2702,
2002,Kansas,KS,115552,70.3,5.1,2714,
2003,Kansas,KS,117478,70.3,5.5,2723,
2004,Kansas,KS,117883,69.9,5.5,2734,
2005,Kansas,KS,122258,69.5,5.0,2745,
2006,Kansas,KS,128899,70.0,4.4,2763,
2007,Kansas,KS,135667,69.4,4.2,2784,
2008,Kansas,KS,138658,68.8,4.6,2808,
2009,Kansas,KS,133277,67.4,6.9,2833,
2010,Kansas,KS,134945,67.4,7.1,2858,
2011,Kansas,KS,138563,65.4,6.5,2869,
2012,Kansas,KS,140478,63.2,5.7,2885,
2013,Kansas,KS,140506,63.5,5.3,2894,
2014,Kansas,KS,143154,64.7,4.5,2901,
2015,Kansas,KS,144932,64.9,4.2,2910,
2016,Kansas,KS,148249,67.1,4.0,2911,
2017,Kansas,KS,149421,66.0,3.7,2911,
2018,Kansas,KS,152262,67.3,3.4,2912,
1997,Kentucky,KY,146959,75.00,5.3,3908,
1998,Kentucky,KY,151551,75.10,4.6,3934,
1999,Kentucky,KY,156261,73.90,4.5,3961,
2000,Kentucky,KY,152118,73.40,4.2,4049,
2001,Kentucky,KY,151921,73.90,5.2,4068,
2002,Kentucky,KY,155676,73.70,5.7,4090,
2003,Kentucky,KY,159180,74.40,6.1,4117,
2004,Kentucky,KY,163436,73.30,5.4,4146,
2005,Kentucky,KY,168805,71.60,5.9,4183,
2006,Kentucky,KY,173337,71.70,5.7,4219,
2007,Kentucky,KY,171869,72.90,5.4,4257,
2008,Kentucky,KY,172151,72.80,6.4,4290,
2009,Kentucky,KY,165015,71.20,10.3,4317,
2010,Kentucky,KY,172045,70.30,10.2,4348,
2011,Kentucky,KY,174136,69.10,9.4,4369,
2012,Kentucky,KY,176302,68.70,8.2,4386,
2013,Kentucky,KY,179390,67.50,8.0,4405,
2014,Kentucky,KY,179753,67.60,6.5,4414,
2015,Kentucky,KY,180679,67.90,5.3,4426,
2016,Kentucky,KY,181614,67.90,5.1,4438,
2017,Kentucky,KY,183566,70.10,4.9,4454,
2018,Kentucky,KY,186148,69.80,4.3,4468,
