year,state,state_abbrev,GDP,homeownership(%),unemployment_rate,population(thousands),
2005,New York,NY,1171051,55.9,5.0,19133,
2006,New York,NY,1199904,55.7,4.5,19105,
2007,New York,NY,1202726,55.9,4.6,19132,
2008,New York,NY,1175471,55.0,5.4,19212,
2009,New York,NY,1223229,54.4,8.3,19307,
2010,New York,NY,1269487,54.5,8.6,19400,
2011,New York,NY,1269245,53.6,8.3,19499,
2012,New York,NY,1322448,53.6,8.5,19575,
2013,New York,NY,1319299,53.0,7.7,19628,
2014,New York,NY,1348204,52.9,6.3,19656,
2015,New York,NY,1369097,51.5,5.3,19661,
2016,New York,NY,1388267,51.5,4.9,19642,
2017,New York,NY,1407217,51.1,4.7,19591,
2018,New York,NY,1436957,51.0,4.1,19542,
1997,Ohio,OH,471886,69.0,4.6,11212,
1998,Ohio,OH,487904,70.7,4.3,11238,
1999,Ohio,OH,499060,70.7,4.3,11257,
2000,Ohio,OH,508992,71.3,4.0,11364,
2001,Ohio,OH,501815,71.2,4.3,11387,
2002,Ohio,OH,514752,72.1,5.7,11408,
2003,Ohio,OH,522649,72.8,6.2,11435,
2004,Ohio,OH,534359,73.1,6.3,11452,
2005,Ohio,OH,543745,73.3,5.9,11463,
2006,Ohio,OH,541180,72.1,5.4,11481,
2007,Ohio,OH,541411,71.4,5.6,11500,
2008,Ohio,OH,537200,70.8,6.4,11515,
2009,Ohio,OH,509216,69.7,10.3,11529,
2010,Ohio,OH,521095,69.7,10.3,11539,
2011,Ohio,OH,538703,68.9,8.8,11543,
2012,Ohio,OH,540819,67.9,7.4,11548,
2013,Ohio,OH,550800,67.9,7.5,11577,
2014,Ohio,OH,570362,67.3,5.8,11603,
2015,Ohio,OH,577277,66.4,4.9,11618,
2016,Ohio,OH,581594,66.1,5.0,11635,
2017,Ohio,OH,590884,66.0,5.0,11664,
2018,Ohio,OH,601496,67.3,4.6,11689,
1997,Oklahoma,OK,115414,68.5,4.1,3314,
1998,Oklahoma,OK,117867,69.7,4.3,3339,
1999,Oklahoma,OK,119725,71.5,3.5,3358,
2000,Oklahoma,OK,124111,72.7,3.0,3454,
2001,Oklahoma,OK,128721,71.5,3.7,3467,
2002,Oklahoma,OK,131078,69.6,4.7,3489,
2003,Oklahoma,OK,133084,69.1,5.5,3505,
2004,Oklahoma,OK,137436,71.1,4.9,3525,
2005,Oklahoma,OK,143073,72.9,4.5,3549,
2006,Oklahoma,OK,152659,71.6,4.0,3594,
2007,Oklahoma,OK,155465,70.3,4.1,3634,
2008,Oklahoma,OK,161361,70.4,3.7,3669,
2009,Oklahoma,OK,159236,69.6,6.4,3718,
2010,Oklahoma,OK,159227,69.2,6.8,3760,
2011,Oklahoma,OK,165153,69.4,5.9,3788,
2012,Oklahoma,OK,173484,68.8,5.2,3819,
2013,Oklahoma,OK,177602,69.9,5.3,3853,
2014,Oklahoma,OK,188065,69.3,4.5,3878,
2015,Oklahoma,OK,194565,67.4,4.4,3910,
2016,Oklahoma,OK,189122,66.8,4.8,3927,
2017,Oklahoma,OK,189569,68.9,4.2,3933,
2018,Oklahoma,OK,193030,69.5,3.4,3943,
1997,Oregon,OR,118539,61.0,5.7,3243,
1998,Oregon,OR,124171,63.4,5.7,3282,
1999,Oregon,OR,126884,64.3,5.5,3316,
2000,Oregon,OR,137802,65.3,5.1,3430,
2001,Oregon,OR,136688,65.8,6.4,3468,
2002,Oregon,OR,139698,66.2,7.5,3513,
2003,Oregon,OR,145585,68.0,8.1,3547,
2004,Oregon,OR,152798,69.0,7.3,3569,
2005,Oregon,OR,158463,68.2,6.2,3613,
2006,Oregon,OR,167912,68.1,5.3,3671,
2007,Oregon,OR,171114,65.7,5.2,3722,
2008,Oregon,OR,173955,66.2,6.5,3769,
2009,Oregon,OR,166653,68.2,11.3,3809,
2010,Oregon,OR,169016,66.3,10.6,3838,
2011,Oregon,OR,173883,66.4,9.5,3872,
2012,Oregon,OR,174493,66.1,8.8,3899,
2013,Oregon,OR,175805,64.2,7.9,3923,
2014,Oregon,OR,181992,62.8,6.8,3964,
2015,Oregon,OR,191595,61.1,5.6,4017,
2016,Oregon,OR,200332,62.6,4.8,4091,
2017,Oregon,OR,206711,61.8,4.1,4147,
2018,Oregon,OR,213708,62.0,4.2,4191,
1997,Pennsylvania,PA,495814,73.3,5.1,12016,
1998,Pennsylvania,PA,508484,73.9,4.6,12002,
1999,Pennsylvania,PA,523565,75.2,4.4,11994,
2000,Pennsylvania,PA,537224,74.7,4.1,12284,
2001,Pennsylvania,PA,544791,74.3,4.8,12299,
2002,Pennsylvania,PA,550247,74.0,5.6,12331,
2003,Pennsylvania,PA,562436,73.7,5.7,12375,
2004,Pennsylvania,PA,578034,74.9,5.4,12411,
2005,Pennsylvania,PA,588055,73.3,5.0,12450,
2006,Pennsylvania,PA,592030,73.2,4.6,12511,
2007,Pennsylvania,PA,612018,72.9,4.4,12564,
2008,Pennsylvania,PA,623821,72.6,5.3,12612,
2009,Pennsylvania,PA,605497,72.2,8.0,12667,
2010,Pennsylvania,PA,622467,72.2,8.5,12711,
2011,Pennsylvania,PA,631372,71.1,7.9,12745,
2012,Pennsylvania,PA,641317,71.0,7.8,12767,
2013,Pennsylvania,PA,651319,71.5,7.4,12777,
2014,Pennsylvania,PA,664793,69.7,5.9,12789,
2015,Pennsylvania,PA,677873,69.6,5.3,12786,
2016,Pennsylvania,PA,685462,68.5,5.4,12784,
2017,Pennsylvania,PA,697183,68.6,4.9,12790,
2018,Pennsylvania,PA,712101,69.9,4.3,12807,
1997,Rhode Island,RI,40159,58.7,5.1,987,
1998,Rhode Island,RI,41789,59.8,4.6,988,
1999,Rhode Island,RI,43176,60.6,4.2,991,
2000,Rhode Island,RI,45246,61.5,4.1,1050,
2001,Rhode Island,RI,45918,60.1,4.6,1057,
2002,Rhode Island,RI,47611,59.4,5.0,1066,
2003,Rhode Island,RI,49374,59.9,5.3,1071,
2004,Rhode Island,RI,51583,61.5,5.2,1075,
2005,Rhode Island,RI,52316,63.1,5.0,1068,
2006,Rhode Island,RI,53518,64.6,4.9,1063,
2007,Rhode Island,RI,52087,64.9,5.2,1057,
2008,Rhode Island,RI,50447,64.5,7.8,1055,
2009,Rhode Island,RI,50214,62.9,11.0,1054,
2010,Rhode Island,RI,51468,62.8,11.2,1054,
2011,Rhode Island,RI,51269,63.4,11.0,1054,
2012,Rhode Island,RI,51642,62.1,10.4,1055,
2013,Rhode Island,RI,52085,61.5,9.3,1055,
2014,Rhode Island,RI,52208,61.8,7.7,1056,
2015,Rhode Island,RI,53003,58.9,6.0,1056,
2016,Rhode Island,RI,52985,56.3,5.2,1057,
2017,Rhode Island,RI,53404,56.6,4.4,1056,
2018,Rhode Island,RI,53741,60.7,4.1,1057,
1997,South Carolina,SC,134908,74.1,4.6,3790,
1998,South Carolina,SC,140139,76.6,3.8,3840,
1999,South Carolina,SC,146526,77.1,4.3,3886,
2000,South Carolina,SC,150501,76.5,3.8,4024,
2001,South Carolina,SC,151105,76.1,5.2,4065,
2002,South Carolina,SC,154698,77.5,5.8,4108,
2003,South Carolina,SC,160138,75.0,6.9,4150,
2004,South Carolina,SC,162238,76.2,6.8,4211,
2005,South Carolina,SC,166574,73.9,6.7,4270,
2006,South Carolina,SC,170339,74.2,6.4,4358,
2007,South Carolina,SC,175090,74.1,5.7,4444,
2008,South Carolina,SC,174584,73.9,6.8,4529,
2009,South Carolina,SC,166850,74.4,11.2,4590,
2010,South Carolina,SC,170167,74.8,11.2,4636,
2011,South Carolina,SC,174128,74.2,10.6,4671,
2012,South Carolina,SC,175375,71.5,9.2,4717,
2013,South Carolina,SC,178940,72.4,7.6,4764,
2014,South Carolina,SC,183282,72.9,6.5,4824,
2015,South Carolina,SC,189167,67.1,6.0,4892,
2016,South Carolina,SC,194466,68.9,5.0,4958,
2017,South Carolina,SC,199491,72.8,4.3,5021,
2018,South Carolina,SC,202771,72.0,3.4,5084,
1997,South Dakota,SD,24976,67.6,2.9,731,
1998,South Dakota,SD,26452,67.3,2.8,731,
1999,South Dakota,SD,27501,70.7,2.7,733,
2000,South Dakota,SD,29407,71.2,2.5,756,
2001,South Dakota,SD,29746,71.5,3.1,758,
2002,South Dakota,SD,32958,71.5,3.2,760,
2003,South Dakota,SD,33657,70.9,3.5,764,
2004,South Dakota,SD,35071,68.5,3.7,770,
2005,South Dakota,SD,35907,68.4,3.8,775,
2006,South Dakota,SD,36459,70.6,3.1,783,
2007,South Dakota,SD,38057,70.4,2.8,792,
2008,South Dakota,SD,39643,70.4,3.1,799,
2009,South Dakota,SD,39732,69.6,4.9,807,
2010,South Dakota,SD,40130,70.6,5,816,
2011,South Dakota,SD,42794,69.3,4.7,823,
2012,South Dakota,SD,43445,69.2,4.3,833,
2013,South Dakota,SD,43602,67.8,3.8,842,
2014,South Dakota,SD,44100,69.2,3.4,849,
2015,South Dakota,SD,45266,70.1,3.1,854,
2016,South Dakota,SD,45424,69.4,3,863,
2017,South Dakota,SD,45265,67.8,3.2,873,
2018,South Dakota,SD,45874,69.1,3,882,
1997,Tennesse,TN,210844,70.2,5.3,5378,
1998,Tennesse,TN,223769,71.3,4.3,5433,
1999,Tennesse,TN,230418,71.9,4,5484,
2000,Tennesse,TN,233153,70.9,3.9,5704,
2001,Tennesse,TN,232723,69.7,4.6,5751,
2002,Tennesse,TN,240522,70.3,5.2,5796,
2003,Tennesse,TN,247824,70.8,5.6,5848,
2004,Tennesse,TN,259337,71.6,5.3,5911,
2005,Tennesse,TN,264652,72.4,5.6,5991,
2006,Tennesse,TN,271465,71.3,5.2,6089,
2007,Tennesse,TN,268756,70.2,4.7,6176,
2008,Tennesse,TN,272011,71.7,6.6,6247,
2009,Tennesse,TN,263016,71.1,10.5,6306,
2010,Tennesse,TN,266727,71.0,9.7,6355,
2011,Tennesse,TN,274804,69.3,9,6397,
2012,Tennesse,TN,283722,67.9,7.8,6451,
2013,Tennesse,TN,286801,66.8,7.8,6493,
2014,Tennesse,TN,291527,66.7,6.6,6541,
2015,Tennesse,TN,300581,66.5,5.6,6591,
2016,Tennesse,TN,306343,66.4,4.7,6645,
2017,Tennesse,TN,313573,67.2,3.8,6709,
2018,Tennesse,TN,322898,68.0,3.5,6770,
1997,Texas,TX,872763,61.5,5.3,19355,
1998,Texas,TX,928374,62.5,4.9,19712,
1999,Texas,TX,965677,62.9,4.7,20044,
2000,Texas,TX,998297,63.8,4.3,20944,
2001,Texas,TX,1021889,63.9,5,21320,
2002,Texas,TX,1041811,63.4,6.4,21690,
2003,Texas,TX,1048299,64.5,6.7,22031,
2004,Texas,TX,1102696,65.5,5.9,22394,
2005,Texas,TX,1132796,65.9,5.4,22778,
2006,Texas,TX,1210287,66.0,4.9,23360,
2007,Texas,TX,1274303,66.0,4.3,23832,
2008,Texas,TX,1275774,65.5,4.8,24309,
2009,Texas,TX,1271436,65.4,7.6,24802,
2010,Texas,TX,1301727,65.3,8.1,25243,
2011,Texas,TX,1343791,64.3,7.8,25646,
2012,Texas,TX,1411379,64.3,6.7,26090,
2013,Texas,TX,1472104,63.3,6.3,26489,
2014,Texas,TX,1512351,62.2,5.1,26977,
2015,Texas,TX,1589956,61.9,4.4,27487,
2016,Texas,TX,1593149,61.5,4.6,27937,
2017,Texas,TX,1624949,61.7,4.3,28323,
2018,Texas,TX,1676679,62.7,3.9,28702,
1997,Utah,UT,57700,72.5,3.2,2065,
1998,Utah,UT,62291,73.7,3.6,2101,
1999,Utah,UT,66023,74.7,3.5,2130,
2000,Utah,UT,70292,72.7,3.3,2245,
2001,Utah,UT,73226,72.4,4.4,2284,
2002,Utah,UT,75999,72.8,5.8,2325,
2003,Utah,UT,79149,73.4,5.6,2360,
2004,Utah,UT,85702,74.9,5,2402,
2005,Utah,UT,94195,73.9,4.1,2458,
2006,Utah,UT,106124,73.5,3,2526,
2007,Utah,UT,114653,74.9,2.6,2598,
2008,Utah,UT,115985,76.2,3.6,2663,
2009,Utah,UT,113333,74.1,7.3,2723,
2010,Utah,UT,117961,72.5,7.8,2775,
2011,Utah,UT,124539,71.4,6.7,2814,
2012,Utah,UT,128721,71.1,5.4,2853,
2013,Utah,UT,134252,70.9,4.6,2898,
2014,Utah,UT,141343,70.9,3.8,2937,
2015,Utah,UT,149524,69.9,3.6,2982,
2016,Utah,UT,157902,71.3,3.4,3043,
2017,Utah,UT,165703,71.0,3.3,3103,
2018,Utah,UT,177336,72.2,3.1,3161,
1997,Virginia,VA,217252,68.4,3.8,6733,
1998,Virginia,VA,233096,69.4,2.9,6789,
1999,Virginia,VA,249798,71.2,2.7,6873,
2000,Virginia,VA,266886,73.9,2.3,7106,
2001,Virginia,VA,284002,75.1,3.2,7198,
2002,Virginia,VA,293276,74.4,4.2,7287,
2003,Virginia,VA,309981,75.0,4.1,7367,
2004,Virginia,VA,332251,73.4,3.8,7476,
2005,Virginia,VA,360300,71.2,3.6,7577,
2006,Virginia,VA,379129,71.1,3.1,7674,
2007,Virginia,VA,392917,71.5,3,7751,
2008,Virginia,VA,399032,70.6,3.9,7833,
2009,Virginia,VA,408919,69.7,6.7,7926,
2010,Virginia,VA,422902,68.7,7.1,8024,
2011,Virginia,VA,432393,67.9,6.6,8100,
2012,Virginia,VA,444950,67.8,6.1,8185,
2013,Virginia,VA,455070,68.1,5.7,8253,
2014,Virginia,VA,463782,68.7,5.2,8312,
2015,Virginia,VA,484628,67.1,4.5,8363,
2016,Virginia,VA,493866,66.3,4.1,8411,
2017,Virginia,VA,510425,67.5,3.7,8465,
2018,Virginia,VA,534449,66.0,3,8518,
1997,Vermont,VT,15415,69.1,3.9,589,
1998,Vermont,VT,16073,69.1,3.4,591,
1999,Vermont,VT,17159,69.1,3,594,
2000,Vermont,VT,18312,68.7,2.8,610,
2001,Vermont,VT,19274,69.8,3.3,612,
2002,Vermont,VT,20163,70.3,4,615,
2003,Vermont,VT,21130,71.4,4.3,618,
2004,Vermont,VT,22666,72.0,3.7,620,
2005,Vermont,VT,23509,74.2,3.5,621,
2006,Vermont,VT,24310,74.0,3.7,623,
2007,Vermont,VT,24697,73.7,4,623,
2008,Vermont,VT,25678,72.8,4.7,624,
2009,Vermont,VT,25868,74.3,6.6,625,
2010,Vermont,VT,27108,73.6,6.1,626,
2011,Vermont,VT,28135,74.6,5.5,627,
2012,Vermont,VT,28887,73.4,5,626,
2013,Vermont,VT,29099,73.0,4.4,626,
2014,Vermont,VT,29714,73.5,3.9,625,
2015,Vermont,VT,30709,71.8,3.6,625,
2016,Vermont,VT,31635,71.3,3.2,624,
2017,Vermont,VT,32623,71.1,3,625,
2018,Vermont,VT,33725,71.4,2.7,626,
1997,Washington,WA,193898,62.9,4.9,5604,
1998,Washington,WA,210205,64.9,4.8,5688,
1999,Washington,WA,230555,64.8,4.9,5756,
2000,Washington,WA,237832,63.6,5.2,5911,
2001,Washington,WA,239426,66.4,6.3,5986,
2002,Washington,WA,248189,66.9,7.4,6052,
2003,Washington,WA,258263,65.9,7.4,6104,
2004,Washington,WA,270115,66.0,6.3,6179,
2005,Washington,WA,296101,67.6,5.6,6257,
2006,Washington,WA,317167,66.7,5,6371,
2007,Washington,WA,346443,66.8,4.7,6462,
2008,Washington,WA,355678,66.2,5.4,6562,
2009,Washington,WA,353632,65.5,9.2,6667,
2010,Washington,WA,365552,64.4,10,6743,
2011,Washington,WA,379539,64.2,9.3,6822,
2012,Washington,WA,400863,63.5,8.1,6893,
2013,Washington,WA,419345,62.7,7,6963,
2014,Washington,WA,442442,63.6,6.1,7052,
2015,Washington,WA,470582,62.6,5.6,7164,
2016,Washington,WA,492943,61.6,5.3,7295,
2017,Washington,WA,522426,63.6,4.7,7425,
2018,Washington,WA,563151,64.9,4.5,7536,
1997,Wisconsin,WI,153241,68.3,3.6,5200,
1998,Wisconsin,WI,162523,70.1,3.4,5222,
1999,Wisconsin,WI,172258,70.9,3.1,5250,
2000,Wisconsin,WI,180539,71.8,3.5,5374,
2001,Wisconsin,WI,187939,72.3,4.5,5407,
2002,Wisconsin,WI,194813,72.2,5.4,5445,
2003,Wisconsin,WI,203135,72.8,5.7,5479,
2004,Wisconsin,WI,215139,73.3,5,5514,
2005,Wisconsin,WI,225698,71.1,4.7,5546,
2006,Wisconsin,WI,235709,70.2,4.7,5578,
2007,Wisconsin,WI,243767,70.5,4.9,5611,
2008,Wisconsin,WI,244760,70.4,4.9,5641,
2009,Wisconsin,WI,245539,70.4,8.6,5669,
2010,Wisconsin,WI,254354,71.0,8.7,5690,
2011,Wisconsin,WI,263882,68.5,7.8,5705,
2012,Wisconsin,WI,274344,67.5,7,5720,
2013,Wisconsin,WI,282385,68.5,6.7,5737,
2014,Wisconsin,WI,293519,67.8,5.4,5752,
2015,Wisconsin,WI,304852,66.6,4.6,5761,
2016,Wisconsin,WI,312141,67.7,4,5773,
2017,Wisconsin,WI,321584,68.0,3.3,5792,
2018,Wisconsin,WI,336972,67.9,3,5814,
1997,West Virginia,WV,38840,74.6,6.9,1816,
1998,West Virginia,WV,40086,74.8,6.6,1812,
1999,West Virginia,WV,41831,74.8,6.5,1807,
2000,West Virginia,WV,42607,75.9,5.5,1807,
2001,West Virginia,WV,43978,76.4,5,1801,
2002,West Virginia,WV,45434,77.2,5.9,1805,
2003,West Virginia,WV,46668,78.1,6,1812,
2004,West Virginia,WV,49272,80.3,5.3,1816,
2005,West Virginia,WV,53259,81.3,5.1,1820,
2006,West Virginia,WV,56530,78.4,4.9,1828,
2007,West Virginia,WV,58636,77.6,4.6,1834,
2008,West Virginia,WV,62067,77.8,4.3,1840,
2009,West Virginia,WV,62958,78.7,7.7,1848,
2010,West Virginia,WV,65274,79,8.7,1854,
2011,West Virginia,WV,68525,78.7,8.1,1856,
2012,West Virginia,WV,69399,75.8,7.5,1857,
2013,West Virginia,WV,71038,76.8,6.8,1854,
2014,West Virginia,WV,72027,75.6,6.6,1849,
2015,West Virginia,WV,70341,74.9,6.7,1842,
2016,West Virginia,WV,69814,74.8,6.1,1831,
2017,West Virginia,WV,73099,75.1,5.2,1817,
2018,West Virginia,WV,77477,74.7,5.3,1806,
1997,Wyoming,WY,14724,67.6,4.8,480,
1998,Wyoming,WY,14928,70,4.7,480,
1999,Wyoming,WY,15711,69.8,4.6,480,
2000,Wyoming,WY,17205,71,3.9,494,
2001,Wyoming,WY,18661,73.5,3.8,495,
2002,Wyoming,WY,19116,73,4,500,
2003,Wyoming,WY,21028,72.9,4.3,503,
2004,Wyoming,WY,23187,72.8,3.8,509,
2005,Wyoming,WY,27178,72.8,3.6,514,
2006,Wyoming,WY,32405,73.7,3.2,523,
2007,Wyoming,WY,36603,73.2,2.8,535,
2008,Wyoming,WY,42540,73.3,3.1,546,
2009,Wyoming,WY,36042,73.8,6.3,560,
2010,Wyoming,WY,37401,73.4,6.4,564,
2011,Wyoming,WY,39371,71.1,5.8,567,
2012,Wyoming,WY,38432,70.3,5.3,576,
2013,Wyoming,WY,38923,70.5,4.7,582,
2014,Wyoming,WY,39372,70.8,4.1,583,
2015,Wyoming,WY,37740,69.9,4.3,586,
2016,Wyoming,WY,35905,70.2,5.3,584,
2017,Wyoming,WY,37625,70.4,4.2,579,
2018,Wyoming,WY,39371,71.1,4.1,578,
,,,,,,,
,,,,,,,